idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
372.0,3.1200001,3.121,3.486,-0.36600003,0.17,0.52400005,0.384,2.789,3.4550002,0.0,0.91400003,GP_oracle,stoch
372.0,1.1090001,1.108,1.087,0.022000002,0.079,0.91800004,0.74300003,0.95600003,1.264,1.0,0.078,Linear_observed,dynamic
372.0,0.55700004,0.55700004,1.087,-0.53000003,0.093,0.961,0.63600004,0.37300003,0.74100006,0.0,0.512,GP_observed,dynamic
372.0,3.5830002,3.581,3.486,0.097,0.24800001,2.5310001,1.766,3.098,4.0750003,1.0,0.164,Linear_observed,stoch
372.0,4.427,4.427,3.486,0.94100004,0.29000002,3.209,2.532,3.8630002,4.9950004,0.0,0.23600002,GP_observed,stoch
372.0,1.4030001,1.401,1.087,0.316,0.055000003,0.78800005,0.703,1.3010001,1.516,0.0,0.324,Linear_3S,dynamic
372.0,2.079,2.0800002,1.087,0.99200004,0.128,2.279,1.7550001,1.8280001,2.331,0.0,0.758,GP_3S,dynamic
372.0,5.15,5.144,3.486,1.664,0.17400001,2.3590002,2.227,4.8240004,5.5130005,0.0,0.048,Linear_3S,stoch
372.0,2.7960002,2.7960002,3.486,-0.69000006,0.24700001,1.9300001,1.0890001,2.315,3.2810001,0.0,0.88000005,GP_3S,stoch
372.0,1.559,1.559,1.087,0.47200003,0.036000002,0.83900005,0.74500006,1.488,1.6300001,0.0,0.042000003,Linear_1S,dynamic
372.0,1.072,1.075,1.087,-0.015000001,0.093,0.58900005,0.45600003,0.88000005,1.2470001,1.0,0.33600003,GP_1S,dynamic
372.0,5.7380004,5.7380004,3.486,2.252,0.133,2.7170002,2.5740001,5.4740005,6.0000005,0.0,0.022000002,Linear_1S,stoch
372.0,3.13,3.131,3.486,-0.356,0.33,1.0710001,0.744,2.482,3.7710001,1.0,0.66,GP_1S,stoch
