idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist,iteration
13_1_4,true_net,dynamic,4.0,4.29253,3.86738,4.27758,0.01495,0.0127799995,0.01966,0.0046,0.014939999,0.00364,4.267103,4.31736,1.0,1.0,0.2731325,13_1
13_1_4,true_net,stoch,4.0,5.2880497,5.0478797,5.26956,0.01848,0.01582,0.02433,0.00462,0.01848,0.0034899998,5.2566,5.3186197,1.0,1.0,0.2731325,13_1
13_1_4,obs_net,dynamic,4.0,0.44667,-0.14983,4.27758,-3.83092,0.68771,3.89216,0.90989995,3.83092,0.99814,-0.881594,1.8081387,0.0,0.0,8.017862,13_1
13_1_4,obs_net,stoch,4.0,0.56426996,0.57083,5.26956,-4.70529,0.78999996,4.77115,0.90542,4.70529,0.8901,-0.96182144,2.1288526,0.0,0.0,8.017862,13_1
13_1_4,MWG,dynamic,4.0,3.8615098,3.6164298,4.27758,-0.41608,0.13927999,0.43877,0.10257,0.66385,0.17144999,3.606537,4.1530943,0.0,0.982,1.9683925,13_1
13_1_4,MWG,stoch,4.0,4.77462,4.57292,5.26956,-0.49493998,0.14261,0.51508,0.09775,0.55177,0.100889996,4.5312753,5.1165705,0.0,0.754,1.9683925,13_1
13_1_4,MWG_rep,dynamic,4.0,3.7553399,3.54715,4.27758,-0.52225,0.12904,0.53795,0.12576,0.73569995,0.18806,3.506785,4.001945,0.0,0.978,2.2642765,13_1
13_1_4,MWG_rep,stoch,4.0,4.60849,4.40822,5.26956,-0.66108,0.11384,0.67081,0.1273,0.68755,0.12605,4.391271,4.824537,0.0,0.47399998,2.2642765,13_1
13_2_0,true_net,dynamic,2.0,4.3905497,3.89044,4.38757,0.00299,0.01327,0.013599999,0.0030999999,0.00621,0.0016399999,4.364231,4.4166026,1.0,1.0,0.27175486,13_2
13_2_0,true_net,stoch,2.0,5.1514997,4.93453,5.14821,0.00329,0.0155,0.01584,0.00308,0.0033,0.00059999997,5.1207595,5.1820693,1.0,1.0,0.27175486,13_2
13_2_0,obs_net,dynamic,2.0,1.78088,0.96072996,4.38757,-2.60668,0.26196998,2.6198199,0.59709996,2.60774,0.62599,1.261807,2.2909052,0.0,0.007999999,5.9127264,13_2
13_2_0,obs_net,stoch,2.0,2.07035,2.05265,5.14821,-3.0778599,0.28961998,3.09145,0.60049,3.0778599,0.58599,1.495505,2.6354485,0.0,0.0,5.9127264,13_2
