,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,TRUE,model,type,abs_bias,ci_length
37,121.0,0.393,0.39100003,0.70600003,-0.31300002,0.065000005,0.32000002,0.49500003,0.314,0.37800002,0.44400004,1783.493,0.20600002,49377868.0,0.266,0.522,0.0,0.49400002,GP_observed,dynamic,,GP,Obs.,0.31300002,0.256
38,121.0,1.626,1.6240001,2.5070002,-0.88100004,0.127,0.89100003,1.088,0.882,0.90500003,0.35200003,0.33100003,0.126,0.132,1.376,1.8800001,0.0,0.116000004,Linear_observed,stoch,,Linear,Obs.,0.88100004,0.5040001000000001
39,121.0,1.733,1.733,2.5070002,-0.77400005,0.15900001,0.791,1.243,0.77500004,0.943,0.30900002,0.354,0.09900001,0.178,1.4120001,2.052,0.0,0.33200002,GP_observed,stoch,,GP,Obs.,0.77400005,0.6399999000000001
40,121.0,0.49600002,0.49500003,0.70600003,-0.21000001,0.034,0.21300001,0.381,0.21100001,0.28300002,0.298,1788.899,0.091000006,42455560.0,0.43300003,0.564,0.0,0.65800005,Linear_3S,dynamic,,Linear,3S,0.21000001,0.13099996999999997
41,121.0,1.8880001,1.886,2.5070002,-0.619,0.11400001,0.63000005,0.80600005,0.619,0.66300005,0.24700001,0.24700001,0.063,0.078,1.6680001,2.1130002,0.0,0.418,Linear_3S,stoch,,Linear,3S,0.619,0.4450001000000001
42,121.0,0.476,0.47500002,0.70600003,-0.23,0.037,0.23300001,0.45200002,0.23,0.314,0.326,1680.728,0.109000005,46566316.0,0.40600002,0.55,0.0,0.77800006,GP_3S,dynamic,,GP,3S,0.23,0.14399998000000003
43,121.0,1.8100001,1.8100001,2.5070002,-0.697,0.119,0.707,0.96400005,0.697,0.74600005,0.27800003,0.277,0.079,0.102000006,1.577,2.045,0.0,0.546,GP_3S,stoch,,GP,3S,0.697,0.46799999999999997
44,121.0,0.657,0.657,0.70600003,-0.049000002,0.031000001,0.058000002,0.277,0.051000003,0.21100001,0.072000004,3312.1992,0.007,89807624.0,0.597,0.717,1.0,0.22200002,Linear_1S,dynamic,,Linear,1S,0.049000002,0.12
45,121.0,0.67600006,0.675,0.70600003,-0.030000001,0.040000003,0.051000003,0.40300003,0.041,0.26700002,0.058000002,4086.7922,0.0050000004,142970610.0,0.59800005,0.757,1.0,0.42800003,GP_1S,dynamic,,GP,1S,0.030000001,0.15899995
46,121.0,2.5140002,2.512,2.5070002,0.007,0.11800001,0.11800001,0.39400002,0.094000004,0.30800003,0.038000003,0.13100001,0.002,0.031000001,2.282,2.746,1.0,0.46600002,Linear_1S,stoch,,Linear,1S,0.007,0.46399999999999997
