idx,model,estimand,mean,median,true,bias,std,RMSE_rel,MAPE,covering,mean_ind_cover,w_dist
39,true_net,gate,12.319079,11.9181795,12.432429,-0.11335,0.44467,0.036909997,0.00902,True,1.0,0.2333852
39,MWG,dynamic,4.0267516,4.4677857,3.9342499,0.0925017,0.24716999,0.044812,0.0184776,True,1.3226003,0.7735796
39,MWG,gate,12.8959922,14.9767499,12.432429,0.4635632,0.76295996,0.0170534,0.0642061,True,0.4459859,0.3482021
40,true_net,dynamic,3.5053098,3.35041,3.57234,-0.06703,0.1549,0.04725,0.01949,True,1.0,0.24182855
40,true_net,gate,12.06893,11.7178,12.30147,-0.23254,0.48595998,0.043789998,0.01883,True,1.0,0.24182855
40,MWG,dynamic,3.8548163,5.0507697,3.57234,0.2824763,0.33620998,0.0905797,0.0840952,True,1.3722116,1.4785245
40,MWG,gate,13.265386,17.4401921,12.30147,0.963916,1.07835,0.0562723,0.1324474,False,0.0547934,0.782579
41,true_net,dynamic,4.12824,3.96769,4.19653,-0.068289995,0.16426,0.04239,0.01718,True,1.0,0.26504105
41,true_net,gate,12.58822,12.20264,12.795879,-0.20765999,0.47338,0.0404,0.01615,True,1.0,0.26504105
41,MWG,dynamic,4.2029546,3.8451985,4.19653,0.0064246,0.32604998,0.0110729,0.0080839,True,1.36912,0.9765674
41,MWG,gate,12.8565127,12.1469451,12.795879,0.0606337,1.01058,0.0283117,0.0076025,True,1.1020525,0.4662967
42,true_net,dynamic,3.9246998,3.77946,4.08358,-0.15888,0.16158,0.05549,0.04017,True,1.0,0.30951545
42,true_net,gate,12.50213,12.1082,13.00808,-0.50595,0.47388998,0.05329,0.038799997,True,1.0,0.30951545
42,MWG,dynamic,4.1327271,4.038589,4.08358,0.0491471,0.40499,0.0037764,0.0351219,True,1.14511,0.5383957
42,MWG,gate,13.1623545,13.3253897,13.00808,0.1542745,1.2707399,0.0145712,0.0277248,True,1.45913,1.1643191
43,true_net,dynamic,3.90186,3.73649,4.0005097,-0.09865,0.14781,0.04442,0.028749999,True,1.0,0.26626873
43,true_net,gate,12.82076,12.42795,13.143809,-0.32305,0.44105,0.041589998,0.02423,True,1.0,0.26626873
43,MWG,dynamic,3.1904899,-3.2791471,4.0005097,-0.8100198,0.48209,0.2779639,0.0845441,False,0.0,1.5841975
43,MWG,gate,8.650113099999999,-11.6539483,13.143809,-4.4936959,1.55795,0.403382,0.564298,True,0.0,2.474412
44,true_net,dynamic,4.36477,4.19356,4.38435,-0.01958,0.16225,0.03728,0.00697,True,1.0,0.22486022
44,true_net,gate,13.58698,13.16764,13.6459,-0.05892,0.46526,0.034369998,0.0041799997,True,1.0,0.22486022
44,MWG,dynamic,4.477618700000001,5.6179625,4.38435,0.0932687,0.34331,0.0424924,0.0864825,False,1.4367642,1.2563531
44,MWG,gate,14.1133633,16.786346,13.6459,0.4674633,1.0260999,0.0549802,0.0498897,True,0.2833294,0.5137247
45,true_net,dynamic,4.94764,4.7859,4.97151,-0.02388,0.18877,0.03827,0.01198,True,1.0,0.31969684
45,true_net,gate,14.05826,13.60524,14.121719,-0.06345,0.50444,0.036,0.0042,True,1.0,0.31969684
45,MWG,dynamic,5.2229291,6.9500087,4.97151,0.2514191,0.4057,0.102647,0.114431,False,1.139276,1.3300712
45,MWG,gate,14.4239992,20.0103431,14.121719,0.3022802,1.13476,0.1484432,0.147213,False,0.0476947,0.6352817
46,true_net,dynamic,4.12255,3.9986298,4.1019697,0.02058,0.15432,0.037949998,0.01155,True,1.0,0.24719284
46,true_net,gate,12.67744,12.28768,12.6114,0.06604,0.44244,0.035469998,0.00496,True,1.0,0.24719284
46,MWG,dynamic,4.1736575,4.986445,4.1019697,0.0716878,0.46728,0.0329222,0.0365736,True,1.0955669,0.5714939
46,MWG,gate,13.1892505,15.0322617,12.6114,0.5778505,1.4225999,0.0824832,0.0235232,True,0.6132558,0.6140084
47,true_net,dynamic,4.5015697,4.36657,4.3017,0.19986999,0.16261,0.059899997,0.048589997,True,1.0,0.38887203
47,true_net,gate,15.20055,14.755739,14.5178995,0.68264997,0.51444,0.058879998,0.04683,True,1.0,0.38887203
47,MWG,dynamic,4.2192884,-3.7287058,4.3017,-0.0824116,0.55065,0.5127433,0.23519,True,0.0,4.6948008
47,MWG,gate,12.254519,-11.1548429,14.5178995,-2.2633805,1.6648799,0.5093834,0.0683143,True,0.0,1.4214587
48,true_net,dynamic,3.73817,3.5939498,3.8416998,-0.10352,0.1589,0.04937,0.028679999,True,1.0,0.28339875
48,true_net,gate,12.20158,11.81994,12.53937,-0.33778998,0.48369998,0.04705,0.02681,True,1.0,0.28339875
48,MWG,dynamic,3.8926143000000004,4.170055,3.8416998,0.0509145,0.37082,0.0521128,0.0338379,True,1.25571,0.7617596
48,MWG,gate,12.9190527,13.756824,12.53937,0.3796827,1.18248,0.0067654,0.0342278,False,0.9894204,0.4295387
49,true_net,dynamic,4.96946,4.8093,4.77008,0.19938,0.18142,0.056509998,0.04498,True,1.0,0.3484661
49,true_net,gate,13.90201,13.482679,13.3516,0.55041,0.47625998,0.054509997,0.04089,True,1.0,0.3484661
49,MWG,dynamic,4.8225683,4.7703199,4.77008,0.0524883,0.47162,0.0262006,0.0155784,True,1.10594,0.5081626
49,MWG,gate,13.643030099999999,14.3871411,13.3516,0.2914301,1.28643,0.0081782,0.0394405,True,1.005676,0.3327056
50,true_net,dynamic,4.47226,4.35538,4.46447,0.0077899997,0.16956,0.03802,0.0081,True,1.0,0.2690117
50,true_net,gate,13.53873,13.13209,13.5138,0.024939999,0.47901,0.03549,0.00186,True,1.0,0.2690117
50,MWG,dynamic,2.0359663000000006,-9.8395167,4.46447,-2.4285037,0.86862,0.3562639,0.9869485,True,0.0,2.9229322
50,MWG,gate,11.5026946,-27.804494,13.5138,-2.0111054,2.59373,0.8188726,0.3617339,True,0.0,1.6654137
51,true_net,dynamic,4.01251,3.9015498,3.97578,0.03672,0.15502,0.040069997,0.010129999,True,1.0,0.22512725
51,true_net,gate,13.8486595,13.41776,13.719049,0.12961,0.49528,0.03732,0.00936,True,1.0,0.22512725
51,MWG,dynamic,4.3103608,5.6042248,3.97578,0.3345808,0.37245998,0.0683537,0.16812,False,1.0194975,0.4694955
51,MWG,gate,14.4434705,17.1627402,13.719049,0.7244215,1.24286,0.1062722,0.0256977,True,0.1331566,0.7187444
52,true_net,dynamic,4.44423,4.3031797,4.4739,-0.02967,0.17695999,0.04011,0.0083,True,1.0,0.2624049
52,true_net,gate,13.213969,12.81499,13.30246,-0.088489994,0.49813998,0.03803,0.00652,True,1.0,0.2624049
52,MWG,dynamic,4.2802923,-1.5267921,4.4739,-0.1936077,0.38683,0.0369798,0.1737209,True,0.0,2.5946131
52,MWG,gate,12.7171201,-4.5974338,13.30246,-0.5853399,1.09899,0.1831854,0.344033,True,0.0,1.304227
53,true_net,dynamic,4.5289297,4.3480697,4.52818,0.00075,0.18178,0.04014,0.0033099998,True,1.0,0.23296466
53,true_net,gate,13.5484295,13.10122,13.54381,0.00462,0.50033,0.036939997,0.00087,True,1.0,0.23296466
53,MWG,dynamic,3.9624371,-1.4850213,4.52818,-0.5657429,0.29808998,0.2595602,0.336545,False,0.0,1.2554338
53,MWG,gate,11.681172700000001,-4.8809585,13.54381,-1.8626373,0.99583995,0.3377596,0.058581,True,0.0,2.946514
54,true_net,dynamic,4.15892,4.01518,4.19097,-0.03205,0.16769,0.04074,0.0069999998,True,1.0,0.26073748
54,true_net,gate,12.88696,12.479199,12.98751,-0.100549996,0.47888,0.03768,0.00791,True,1.0,0.26073748
54,MWG,dynamic,4.5144036,5.2002803,4.19097,0.3234336,0.23571,0.1049267,0.0332961,True,1.2505147,0.8360103
54,MWG,gate,13.1742887,15.5360611,12.98751,0.1867787,0.65367997,0.064001,0.0569989,True,0.4181509,0.7192222
55,true_net,dynamic,3.33075,3.17724,3.6577199,-0.32698,0.16136,0.09969,0.09631,False,1.0,0.5948112
55,true_net,gate,12.071509,11.73755,13.2615595,-1.19005,0.53815997,0.09849,0.089209996,False,1.0,0.5948112
