idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
515.0,4.1270003,4.1270003,4.847,-0.72,0.059000004,1.3520001,0.92800003,0.35000002,4.011,4.243,0.0,0.20600002,Linear_observed,dynamic
515.0,4.132,4.1330004,4.847,-0.71500003,0.095000006,1.468,1.1400001,0.93700004,3.9440002,4.3190002,0.0,0.264,GP_observed,dynamic
515.0,5.3240004,5.326,5.7520003,-0.42800003,0.11400001,1.3390001,0.94200003,0.16700001,5.103,5.5480003,0.0,0.216,Linear_observed,stoch
515.0,6.2070003,6.2050004,5.7520003,0.455,0.24800001,1.514,1.1680001,0.208,5.729,6.6990004,1.0,0.246,GP_observed,stoch
515.0,4.618,4.617,4.847,-0.22900002,0.07300001,0.60400003,0.45800003,0.657,4.477,4.7650003,0.0,0.836,Linear_3S,dynamic
515.0,4.4820004,4.4830003,4.847,-0.365,0.09200001,0.771,0.532,0.72,4.2990003,4.6590004,0.0,0.83400005,GP_3S,dynamic
515.0,5.3570004,5.355,5.7520003,-0.395,0.095000006,0.694,0.509,0.086,5.168,5.544,0.0,0.77000004,Linear_3S,stoch
515.0,5.1250005,5.129,5.7520003,-0.62700003,0.13000001,1.161,0.71300006,0.109000005,4.8580003,5.3630004,0.0,0.81000006,GP_3S,stoch
515.0,4.7330003,4.7330003,4.847,-0.11400001,0.059000004,0.49100003,0.39100003,0.623,4.618,4.8510003,1.0,0.326,Linear_1S,dynamic
515.0,4.6190004,4.6200004,4.847,-0.22800002,0.082,0.69200003,0.47700003,0.725,4.454,4.775,0.0,0.49800003,GP_1S,dynamic
515.0,5.572,5.572,5.7520003,-0.18,0.080000006,0.5,0.38900003,0.071,5.4160004,5.7300005,0.0,0.312,Linear_1S,stoch
515.0,5.3510003,5.3560004,5.7520003,-0.40100002,0.11000001,1.013,0.606,0.094000004,5.1190004,5.5530005,0.0,0.41400003,GP_1S,stoch
