idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
13_0_3,obs_net,stoch,2.5,1.67439,1.6659299,4.8958898,-3.2215,0.33084,3.2384498,0.66146,3.2215,0.64882,1.0188643,2.3368201,False,0.0,6.438373
13_0_3,MWG,dynamic,2.5,3.62956,3.05999,3.87132,-0.24176,0.11524,0.26782,0.06918,0.57768,0.17241,3.422275,3.8512282,False,0.862,1.7097199
13_0_3,MWG,stoch,2.5,4.60552,4.4218698,4.8958898,-0.29037,0.38408998,0.4815,0.098349996,0.383,0.076699995,3.9213502,5.409088,True,0.974,1.7097199
13_0_3,MWG_rep,dynamic,2.5,3.45749,2.8183,3.87132,-0.41382998,0.10086,0.42593998,0.110029995,0.63424,0.18374999,3.2576993,3.647658,False,0.68,2.1211326
13_0_3,MWG_rep,stoch,2.5,4.42911,4.2822,4.8958898,-0.46677998,0.31892,0.56532,0.11547,0.52671,0.10421,3.8293662,5.090215,True,0.93399996,2.1211326
13_0_4,true_net,dynamic,3.0,3.87263,3.3789299,3.87132,0.00131,0.01289,0.01296,0.00335,0.00136,0.00043999997,3.8469787,3.897724,True,1.0,0.2674864
13_0_4,true_net,stoch,3.0,4.89752,4.75098,4.8958898,0.00163,0.01625,0.01633,0.0033399998,0.00163,0.00032999998,4.865136,4.92916,True,1.0,0.2674864
13_0_4,obs_net,dynamic,3.0,1.23504,0.51925,3.87132,-2.6362798,0.34847,2.65921,0.68689996,2.6362798,0.7448,0.53249615,1.9241031,False,0.0039999997,6.666089
13_0_4,obs_net,stoch,3.0,1.5475299,1.5419999,4.8958898,-3.3483598,0.40188998,3.3723998,0.68882,3.3483598,0.67538,0.73777544,2.3441968,False,0.0,6.666089
13_0_4,MWG,dynamic,3.0,3.5325198,2.98122,3.87132,-0.33879998,0.106539994,0.35514998,0.09174,0.60784,0.18046999,3.3405414,3.7701035,False,0.84999996,1.7722992
13_0_4,MWG,stoch,3.0,4.5002,4.3196,4.8958898,-0.39569,0.34709,0.52634996,0.10751,0.45172,0.09025,3.8560827,5.2118587,True,0.91599995,1.7722992
13_0_4,MWG_rep,dynamic,3.0,3.2918298,2.6536999,3.87132,-0.57949,0.11479,0.59075,0.15259999,0.73497,0.2083,3.0827677,3.5289805,False,0.63199997,2.2708213
13_0_4,MWG_rep,stoch,3.0,4.2049,4.05485,4.8958898,-0.69099,0.30868,0.7568,0.15458,0.70809,0.14075999,3.619756,4.830165,False,0.792,2.2708213
13_0_5,true_net,dynamic,3.5,3.87267,3.37901,3.87132,0.0013499999,0.01267,0.012739999,0.00329,0.00137,0.00043,3.8477826,3.8974645,True,1.0,0.2672872
13_0_5,true_net,stoch,3.5,4.8975797,4.75105,4.8958898,0.00169,0.01598,0.016069999,0.0032799998,0.00169,0.00034,4.866261,4.9287543,True,1.0,0.2672872
13_0_5,obs_net,dynamic,3.5,1.0229,0.35237998,3.87132,-2.84842,0.42512998,2.8799698,0.74391997,2.84842,0.81209,0.19486251,1.8504318,False,0.0019999999,7.0166607
13_0_5,obs_net,stoch,3.5,1.30435,1.2999799,4.8958898,-3.5915399,0.49728,3.62581,0.74057996,3.5915399,0.72638,0.33637664,2.2720375,False,0.0,7.0166607
